,origin_ratio,dest_ratio
13241,10819.946808510638,8724.468085106382
13244,76890.15957446808,84886.70212765958
13256,18580.58510638298,25154.255319148935
13264,34260.37234042553,18537.5
13277,14897.340425531915,17729.787234042553
13290,6569.414893617021,8243.351063829787
13296,7586.436170212766,33797.60638297872
13303,311265.9574468085,176004.52127659574
13342,82918.6170212766,98946.8085106383
13344,1514.3617021276596,4529.521276595745
13347,7768.085106382979,4821.010638297872
13360,1177.659574468085,2901.8617021276596
13367,29553.191489361703,28897.340425531915
13377,11392.81914893617,10681.648936170213
13388,6221.010638297872,3362.7659574468084
13422,25097.074468085106,26733.510638297874
13433,7317.553191489362,5209.574468085107
13459,11288.297872340425,10763.297872340425
13476,16228.72340425532,13946.27659574468
13485,50142.81914893617,41407.44680851064
13486,11501.86170212766,9293.617021276596
13487,118538.56382978724,148193.8829787234
13495,162592.81914893616,128532.71276595745
13502,12716.22340425532,16296.54255319149
13541,4398.936170212766,531.6489361702128
13577,35209.04255319149,29755.31914893617
13795,6633.244680851064,13965.159574468085
13796,79576.59574468085,65751.06382978724
13829,1148.936170212766,397.3404255319149
13830,14783.510638297872,-11128.45744680851
13832,2736.7021276595747,2735.904255319149
13851,62111.70212765958,92603.1914893617
13871,50184.04255319149,59457.71276595745
13873,-2219.148936170213,-1638.8297872340424
13891,25488.563829787236,48971.8085106383
13930,2238223.670212766,2029211.170212766
13931,98582.44680851063,107807.97872340426
13933,10756.91489361702,7807.18085106383
13964,5086.170212765957,3365.159574468085
13970,-1087.7659574468084,-1172.872340425532
13983,1033.776595744681,373.93617021276594
14004,1815.9574468085107,-4207.446808510638
14006,4939.095744680851,5467.287234042553
14025,5668.351063829788,6092.287234042553
14027,105205.05319148937,86723.67021276595
14057,28702.393617021276,36241.755319148935
14082,11946.808510638299,34000.53191489362
14092,6869.68085106383,7662.5
14098,7865.425531914893,12571.27659574468
14100,420640.42553191487,415902.39361702127
14107,379675.5319148936,406150.2659574468
14108,26088.031914893618,24215.425531914894
14109,3487.7659574468084,5922.606382978724
14112,6050.531914893617,32963.29787234042
14113,-4252.127659574468,-3105.053191489362
14120,1307.4468085106382,1590.4255319148936
14122,80795.74468085106,119578.1914893617
14150,4777.659574468085,2255.851063829787
14193,24609.574468085106,35119.94680851064
14222,2145.478723404255,1604.787234042553
14231,7089.893617021276,5545.478723404255
14237,3350.531914893617,1091.7553191489362
14252,19029.255319148935,14651.329787234043
14254,2740.9574468085107,6837.234042553191
14256,-1002.6595744680851,594.4148936170212
14259,2451.8617021276596,753.1914893617021
14262,27224.202127659573,27989.09574468085
14288,4989.627659574468,3018.8829787234044
14303,4271.54255319149,2071.808510638298
14307,42848.13829787234,73898.67021276595
14314,4124.468085106383,1796.0106382978724
14321,64503.45744680851,62784.04255319149
14457,36578.1914893617,28548.13829787234
14487,7524.468085106383,5698.404255319149
14489,36265.95744680851,20184.840425531915
14492,289578.4574468085,227012.7659574468
14512,2917.021276595745,-521.0106382978723
14520,255.0531914893617,755.8510638297872
14524,116366.22340425532,117648.40425531915
14543,1327.127659574468,2819.4148936170213
14570,36739.09574468085,36230.85106382979
14574,32097.606382978724,30024.202127659573
14576,64386.96808510638,62065.425531914894
14582,-269.6808510638298,-126.32978723404256
14588,1816.223404255319,2637.5
14633,21957.18085106383,19193.882978723403
14635,78901.86170212766,64524.734042553195
14674,11646.27659574468,14111.702127659575
14679,141091.48936170212,147254.52127659574
14683,60465.425531914894,95333.51063829787
14685,70625.0,59682.18085106383
14689,22568.08510638298,28283.77659574468
14696,23700.0,33760.63829787234
14698,26379.255319148935,19542.021276595744
14704,1753.723404255319,5181.117021276596
14709,-3980.053191489362,-1229.787234042553
14711,5368.351063829788,11008.77659574468
14716,7570.212765957447,3176.8617021276596
14730,109073.13829787234,104292.28723404255
14747,200319.1489361702,344620.47872340423
