op_unique_carrier,month,mean_delay,flight_count
B6,10,3.74526260440472,49814
B6,11,8.05488451807721,49298
B6,12,16.3026989343691,50567
C5,1,28.0179721431781,7032
C5,2,24.0149657697819,6709
C5,3,17.0629952988583,7967
C5,4,18.954580846094,8036
C5,5,16.7164581800343,8614
C5,6,25.60219478738,9299
C5,7,22.0807154835103,9851
C5,8,31.3069918699187,10099
C5,9,15.7616005027757,9798
C5,10,20.5744032503809,10039
C5,11,29.0893698138596,9183
C5,12,30.2971741112124,9213
CP,1,2.71615776902718,15616
CP,2,8.89597971749366,14219
CP,3,6.11060097710283,17080
CP,4,1.43212341197822,16578
CP,5,3.77375907111756,17282
CP,6,6.39996418765668,16800
CP,7,5.43132108486439,17176
CP,8,10.6372465009997,17579
CP,9,2.85737672712985,15305
CP,10,7.75443037974684,15548
CP,11,5.46506534277579,13749
CP,12,7.88431895123532,13969
DL,1,-1.45022132402817,143515
DL,2,0.291059620046987,133639
DL,3,-2.111267853994,165573
DL,4,0.16390639625585,160962
DL,5,0.667261865528998,167314
DL,6,6.18212656382278,171003
DL,7,5.47982431749959,177356
DL,8,3.36612337320226,179244
DL,9,-2.48178107093211,159820
DL,10,-2.01256773073057,168456
DL,11,-1.06564610362541,156282
DL,12,-2.83115736118578,156530
EM,1,-0.931944444444444,742
EM,2,13.079940784604,1484
EM,3,3.33356117566644,1526
EM,4,4.81643227239082,1416
EM,5,6.77840909090909,1498
EM,6,5.24833702882483,1446
EM,7,8.18521078092605,1502
EM,8,4.57757404795487,1504
EM,9,2.64343360234776,1442
EM,10,16.1437125748503,1505
EM,11,2.23795830337886,1456
EM,12,8.12820512820513,1500
EV,1,10.0945281573235,32189
EV,2,11.9969361881955,29337
EV,3,6.41992061294194,33872
EV,4,7.92937365010799,28885
EV,5,7.4371002979146,25996
EV,6,17.2057876550966,26364
EV,7,14.7005299357312,27715
EV,8,16.4241936074397,28669
EV,9,10.6609308234207,26836
EV,10,10.964899798411,25743
